,Plant,VSLNumber,SampleID,Day_Initial_Actual,Spoiled20000_yn,AnyGN_yn,exceed20000byD10_yn,exceed100000postD10_yn,HigherSPC_yn,GN_AtLeast2x,CVTAexceed20000_yn,CVTAexceed1mill_yn,spoilagetype,spoilagetype_actual,,SPC_DI,SPC_D7,SPC_D10,SPC_D14,SPC_D17,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D10,CVTA_D14,CVTA_D17,CVTA_D21,LOD_SPC_DI,LOD_SPC_D7,LOD_SPC_D10,LOD_SPC_D14,LOD_SPC_D17,LOD_SPC_D21,LOD_CVTA_DI,LOD_CVTA_D7,LOD_CVTA_D10,LOD_CVTA_D14,LOD_CVTA_D17,LOD_CVTA_D21,Plant_VSLNumber_SampleID
1,23-03,463,11,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,62,80,2000,22000,2200000,4.30E+08,5,5,5,20,280,700,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,OK,23-03_463_11
2,23-03,463,12,2,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,2.5,70,250,2200,21000,130000,5,5,5,82,5,5300,belowLOD,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,belowLOD,OK,23-03_463_12
4,23-03,463,13,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,72,1000,2500000,25000,35000,3.30E+07,5,1600,2500000,3.30E+07,1.30E+08,4.40E+07,OK,OK,OK,belowLOD,OK,OK,belowLOD,OK,OK,OK,OK,OK,23-03_463_13
5,23-03,463,14,2,yes,yes,no,yes,no,yes,yes,yes,ppcSpoil,ppcSpoil,1,20,50,1000,5300000,2.80E+08,2700000,5,5,5,220000,2.60E+07,2500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,belowLOD,23-03_463_14
3,23-03,463,1-Dec,2,yes,no,no,no,no,no,no,no,sporeSpoil,sporeSpoil,1,51,40,250,31,22000,5400,5,5,5,5,5,40,OK,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,23-03_463_12-1
42,36-1007,463,21,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,4600,5000,29000,2.60E+07,2.10E+08,2500000,5,41,31000,1.30E+07,1.10E+08,5.00E+06,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,belowLOD,36-1007_463_21
43,36-1007,463,22,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,400,380,77000,3.00E+07,1.30E+08,4.50E+08,5,270,86000,1.20E+07,8.60E+07,3.90E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_463_22
45,36-1007,463,23,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,220,66000,3.80E+07,8.30E+07,2.20E+08,5,290,54000,1.30E+07,9.30E+07,1.80E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_463_23
47,36-1007,463,25,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,13000,40000,50000,6.80E+07,6.40E+07,2.80E+08,5,220,120000,1.00E+08,5.00E+06,1.50E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-1007_463_25
44,36-1007,463,22-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,61,3300,4700000,2.80E+07,9.90E+07,5.70E+07,5,3300,5800000,2.50E+07,6.00E+07,6.50E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_463_22-1
46,36-1007,463,23-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,20,41000,1.30E+07,3.50E+07,7.60E+07,6.80E+07,5,39000,1.20E+07,4.40E+07,4.00E+07,5.90E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_463_23-1
48,36-1007,463,25-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,22000,31000,1300000,4500000,2.50E+08,2.00E+08,5,2000,1600000,2.00E+05,5.00E+06,1.70E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-1007_463_25-1
64,36-1103,463,51,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,450,3900,550000,5100000,2.80E+07,2.90E+07,5,3000,490000,7.00E+05,5.00E+06,1.70E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-1103_463_51
65,36-1103,463,55,3,yes,yes,yes,no,no,yes,yes,yes,ppcSpoil,ppcSpoil,1,640,660,32000,2600000,1.60E+07,4.10E+08,5,20,16000,20000,9200000,50000,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,belowLOD,36-1103_463_55
85,36-1255,463,31,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,120,22000,2.00E+07,1.90E+07,NotTested,NotTested,5,75000,9.00E+06,1.80E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1255_463_31
86,36-1255,463,33,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,270,4100,1.90E+07,4.30E+07,NotTested,NotTested,5,22000,3100000,1.80E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1255_463_33
88,36-1255,463,34,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,170,250000,2.30E+07,2.50E+08,NotTested,NotTested,20,210000,1.70E+07,8.20E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-1255_463_34
91,36-1255,463,35,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,14000,5.00E+07,7.80E+07,2.40E+08,NotTested,NotTested,14000,50000,1.80E+07,7.80E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-1255_463_35
87,36-1255,463,33-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,290,4100,1.40E+07,4.70E+07,NotTested,NotTested,5,14000,9300000,2.00E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1255_463_33-1
89,36-1255,463,34-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,61,130000,2.10E+07,4.90E+08,NotTested,NotTested,5,30000,120000,3.80E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1255_463_34-1
90,36-1255,463,34-2,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,6600,91000,2.30E+07,5.20E+08,NotTested,NotTested,5,32000,1.60E+07,2.20E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1255_463_34-2
113,36-1348,463,41,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2.5,590,1.00E+05,5400000,8800000,2.10E+07,5,800,170000,3400000,5.00E+06,1.40E+07,belowLOD,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-1348_463_41
114,36-1348,463,42,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,41,3300,230000,1.30E+07,1.10E+07,5.40E+07,5,2600,1700,5400000,6600000,5.70E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1348_463_42
115,36-1348,463,43,3,yes,no,no,no,no,no,no,no,sporeSpoil,noSpoil,0,51,82,41,70,25000,51,5,5,5,500,5,20,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-1348_463_43
116,36-1348,463,45,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,20,160,40,9400,4500000,5,5,5,5,80,61,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-1348_463_45
76,36-1131,464,51,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,90,220,190,8000,250,250,5,5,5,5,500,500,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1131_464_51
77,36-1131,464,51-1,17,noSpoil,yes,no,no,yes,yes,yes,no,ppcSpoil,noSpoil,0,390,NotTested,NotTested,NotTested,NotTested,200,3800,NotTested,NotTested,NotTested,NotTested,36000,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-1131_464_51-1
174,36-2151,464,21,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1300,1600,4.00E+07,160000,1.70E+08,7.80E+08,5,1800,4.00E+05,3400000,8.40E+08,7.80E+08,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_464_21
177,36-2151,464,22,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1400,2600,4.00E+07,7900000,1.70E+08,3.30E+08,5,2200,4.00E+05,8.00E+07,1.50E+08,2.40E+08,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_464_22
179,36-2151,464,24,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,640,39000,4.00E+07,6200000,4.60E+08,3.60E+08,5,39000,4.00E+07,5.60E+07,5.60E+07,3.40E+08,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_464_24
181,36-2151,464,25,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,210,3400,4.00E+07,1.20E+08,4.90E+08,2.60E+08,5,3400,4.00E+05,1.10E+08,7.00E+08,1.40E+08,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_464_25
175,36-2151,464,21-1,3,noSpoil,yes,no,no,yes,no,no,no,noSpoil,sporeSpoil,0,1000,1400,1300,870,1300,16000,5,5,5,5,5,8000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-2151_464_21-1
176,36-2151,464,21-2,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,540,1200,4.00E+07,2.20E+07,1.60E+08,7.30E+08,5,720,4.00E+05,2.30E+07,6.00E+07,4.40E+08,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_464_21-2
178,36-2151,464,22-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1500,1800,4.00E+07,4.90E+07,3.80E+08,5.30E+08,5,820,4.00E+05,3.20E+07,1.20E+08,2.40E+09,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_464_22-1
180,36-2151,464,24-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,580,110000,4.00E+07,5.90E+07,3.50E+08,1.60E+09,5,130000,4.00E+05,5.90E+07,3.60E+08,1.20E+09,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_464_24-1
212,36-3661,464,31,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,1600,1300,1800,6100,NotTested,NotTested,5,5,5,220,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,OK,36-3661_464_31
213,36-3661,464,32,3,yes,yes,no,yes,yes,no,yes,yes,ppcSpoil,ppcSpoil,1,1800,920,1600,5400000,NotTested,NotTested,5,5,5,6400000,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,OK,36-3661_464_32
220,36-3661,464,33,3,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,1500,2300,17000,9000,NotTested,NotTested,5,5,5,2000,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,OK,36-3661_464_33
225,36-3661,464,34,3,yes,yes,no,yes,yes,no,yes,no,sporeSpoil,ppcSpoil,0,1400,1200,2000,140000,NotTested,NotTested,5,20,5,140000,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,OK,OK,OK,36-3661_464_34
227,36-3661,464,35,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1500,2200,7.00E+05,2.30E+07,NotTested,NotTested,5,1100,4.00E+05,2.60E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-3661_464_35
214,36-3661,464,32-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1400,22000,4.00E+07,7.40E+07,NotTested,NotTested,5,28000,4.00E+05,6.80E+07,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-3661_464_32-1
215,36-3661,464,32-2,3,yes,yes,no,no,yes,yes,yes,no,ppcSpoil,ppcSpoil,1,1600,1500,1800,45000,NotTested,NotTested,5,20,8800,35000,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-3661_464_32-2
216,36-3661,464,32-3,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,1600,1200,1500,9200,NotTested,NotTested,5,5,5,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-3661_464_32-3
217,36-3661,464,32-4,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,1400,5100,1700,2200,NotTested,NotTested,5,5,5,20,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,OK,36-3661_464_32-4
218,36-3661,464,32-5,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1700,1500,4.00E+07,5.10E+07,NotTested,NotTested,5,420,4.00E+05,4.20E+07,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-3661_464_32-5
219,36-3661,464,32-6,3,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,1500,1500,1600,12000,NotTested,NotTested,5,5,40,4300,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-3661_464_32-6
221,36-3661,464,33-1,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,540,2100,2100,1500,NotTested,NotTested,5,5,5,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-3661_464_33-1
222,36-3661,464,33-2,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,2500,2700,3800,530000,NotTested,NotTested,5,5,400,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,OK,OK,36-3661_464_33-2
223,36-3661,464,33-3,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2300,11000,3400000,6.00E+06,NotTested,NotTested,5,59000,4.00E+05,3.40E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-3661_464_33-3
224,36-3661,464,33-4,3,yes,no,yes,no,no,no,no,no,sporeSpoil,sporeSpoil,1,1600,2300,380000,1.20E+07,NotTested,NotTested,5,5,600,500,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,OK,OK,36-3661_464_33-4
226,36-3661,464,34-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1800,2400,130000,2.40E+07,NotTested,NotTested,5,5,4.00E+05,2.70E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,aboveLOD,OK,OK,OK,36-3661_464_34-1
283,36-8446,464,61,6,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,7400,710000,3.60E+07,1.80E+08,3.20E+08,5,5,4.00E+05,4.00E+07,1.90E+08,4.40E+08,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,aboveLOD,aboveLOD,OK,OK,36-8446_464_61
284,36-8446,464,61-1,5,yes,yes,no,yes,yes,yes,yes,no,ppcSpoil,ppcSpoil,1,10,140,4600,61000,940000,2100000,5,5,4.00E+05,500,500,2000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,aboveLOD,belowLOD,belowLOD,OK,36-8446_464_61-1
312,50-13,464,11,5,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,110,NotTested,50,140,120,570,5,NotTested,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,50-13_464_11
313,50-13,464,12,5,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,NotTested,60,30,1200,540000,5,NotTested,5,20,5,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,OK,belowLOD,belowLOD,50-13_464_12
315,50-13,464,13,5,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,50,NotTested,180,250000,7.70E+07,1.60E+08,5,NotTested,140,4.00E+05,7.20E+07,1.60E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,aboveLOD,OK,OK,50-13_464_13
317,50-13,464,14,5,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,20,NotTested,20,100,8000,4000,5,NotTested,5,5,2000,500,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,OK,belowLOD,50-13_464_14
314,50-13,464,1-Dec,5,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,20,NotTested,80,130,3400,140000,5,NotTested,5,5,60,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,OK,belowLOD,50-13_464_12-1
316,50-13,464,13-1,5,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,130,NotTested,20,110,120,710,5,NotTested,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,50-13_464_13-1
25,33-08,466,11,3,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,210,130,80,590,190000,280000,5,5,2000,5,840,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,OK,belowLOD,33-08_466_11
26,33-08,466,12,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,440,5400,2.10E+07,1.80E+08,50000,1.00E+05,5,3100,4.00E+07,1.00E+08,50000,5,OK,OK,OK,OK,belowLOD,OK,belowLOD,OK,aboveLOD,OK,belowLOD,belowLOD,33-08_466_12
29,33-08,466,13,3,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,100,100,90,20,7800,3100,5,5,5,5,5,2600,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,33-08_466_13
31,33-08,466,14,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,900,200,19000,8000,1000,1300000,5,20,19000,30000,500,4.00E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,belowLOD,aboveLOD,33-08_466_14
32,33-08,466,15,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,100,20,18000,2100000,3.60E+07,2.70E+08,5,5,5,5,500,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,33-08_466_15
27,33-08,466,1-Dec,3,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,350,280,200,12000,620000,4.90E+07,5,5,5,5,20,2000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,33-08_466_12-1
28,33-08,466,2-Dec,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,480,640,170,80,640,16000,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,33-08_466_12-2
30,33-08,466,13-1,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,80,60,140,17000,860000,6.70E+07,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,33-08_466_13-1
66,36-1103,466,31,2,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,50,570,10000,3100000,2.90E+07,5.20E+07,40,440,5600,510000,2.80E+07,7.40E+07,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-1103_466_31
67,36-1103,466,35,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,5,5,9100,11000,7.00E+06,78000,5,5,5,5,500,500,belowLOD,belowLOD,aboveLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1103_466_35
68,36-1103,466,36,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,5,10,30,2100,74000,4600000,5,5,5,5,5,500,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1103_466_36
144,36-1880,466,22,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,210,900,160,510,190000,4600000,5,5,20,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,belowLOD,belowLOD,36-1880_466_22
147,36-1880,466,23,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,250,320,180,170,64000,5.00E+06,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_23
149,36-1880,466,24,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,280,100,80,3500,28000,850000,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_24
150,36-1880,466,25,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,30,50,40,6800,190000,1.90E+07,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_25
145,36-1880,466,22-1,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,230,50,650,620000,5.60E+07,9.10E+08,5,5,1000,6.00E+05,5.10E+07,5.00E+08,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-1880_466_22-1
146,36-1880,466,22-2,3,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,240,110,80,930,22000,1.00E+06,5,5,5,5,5,8000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-1880_466_22-2
148,36-1880,466,23-1,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,70,30,50,1200,36000,1900000,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_23-1
204,36-3108,466,41,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,280,3000,320000,1.70E+08,NotTested,NotTested,20,2500,420000,1.10E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-3108_466_41
205,36-3108,466,42,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2300,2400,860000,9.40E+07,NotTested,NotTested,5,1700,680000,9.90E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-3108_466_42
