,Plant,VSLNumber,SampleID,Day_Initial_Actual,Spoiled20000_yn,AnyGN_yn,exceed20000byD10_yn,exceed100000postD10_yn,HigherSPC_yn,GN_AtLeast2x,CVTAexceed20000_yn,CVTAexceed1mill_yn,spoilagetype,spoilagetype_actual,,SPC_DI,SPC_D7,SPC_D10,SPC_D14,SPC_D17,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D10,CVTA_D14,CVTA_D17,CVTA_D21,LOD_SPC_DI,LOD_SPC_D7,LOD_SPC_D10,LOD_SPC_D14,LOD_SPC_D17,LOD_SPC_D21,LOD_CVTA_DI,LOD_CVTA_D7,LOD_CVTA_D10,LOD_CVTA_D14,LOD_CVTA_D17,LOD_CVTA_D21,Plant_VSLNumber_SampleID
52,36-1007,469,13,4,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,7000,1.00E+07,1.10E+08,4.20E+08,8.10E+08,20,7100,110000,1.40E+08,4.20E+08,4.80E+08,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-1007_469_13
53,36-1007,469,15,4,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,90,1400,6600000,2.60E+08,25000,4.20E+08,5,1500,7300000,2.30E+08,50000,3.80E+08,OK,OK,OK,OK,belowLOD,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-1007_469_15
50,36-1007,469,1-Nov,4,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,750,160000,7.60E+07,1.50E+08,25000,6.20E+08,880,230000,5.10E+07,1.50E+08,50000,4.40E+08,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,belowLOD,OK,36-1007_469_11-1
79,36-1131,469,41,4,yes,yes,no,no,yes,yes,yes,no,ppcSpoil,ppcSpoil,1,10,20,50,86000,26000,26000,5,5,20,64000,26000,480,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-1131_469_41
80,36-1131,469,41-1,11,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,10,NotTested,NotTested,20,2500,640000,5,NotTested,NotTested,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,belowLOD,belowLOD,belowLOD,36-1131_469_41-1
105,36-1288,469,31,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,2.5,60,20,20,1800,20,5,5,5,5,120,5,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,belowLOD,36-1288_469_31
107,36-1288,469,32,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,4.00E+05,5.50E+07,1.30E+08,1.00E+06,2.60E+08,5,4.00E+05,5.00E+07,1.30E+08,5.00E+06,2.20E+08,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,36-1288_469_32
108,36-1288,469,33,1,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,30,70,10,20,10,8700,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1288_469_33
109,36-1288,469,35,2,yes,yes,yes,no,no,no,no,no,ppcSpoil,sporeSpoil,0,10,540,45000,1500000,6200000,7.30E+07,5,5,40,8300,5,180,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,belowLOD,OK,36-1288_469_35
106,36-1288,469,31-1,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,30,20,40,970,4.00E+05,5,5,5,20,5,40,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,belowLOD,OK,36-1288_469_31-1
110,36-1288,469,35-1,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,60,270,15000,3600000,1.00E+07,5.40E+07,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1288_469_35-1
182,36-2151,469,21,3,noSpoil,no,no,no,yes,no,no,no,noSpoil,noSpoil,1,220,140,180,4300,230,1800,5,5,5,5,5,740,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-2151_469_21
186,36-2151,469,22,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,260,220,120,120,170,260,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-2151_469_22
189,36-2151,469,23,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,140,15000,1.20E+07,8.20E+07,25000,2.60E+08,5,16000,1.40E+07,8.40E+07,50000,2.00E+08,OK,OK,OK,OK,belowLOD,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-2151_469_23
191,36-2151,469,24,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,240,180,130,120,170,230,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-2151_469_24
193,36-2151,469,25,6,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,80,NotTested,4.00E+05,2.60E+08,9.60E+08,1.10E+09,5,NotTested,4.00E+05,2.60E+08,1.40E+09,1.10E+09,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-2151_469_25
183,36-2151,469,21-1,5,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,200,NotTested,150,1900,220000,1400000,5,NotTested,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,36-2151_469_21-1
184,36-2151,469,21-2,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,160,220,200,150,350,2100,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-2151_469_21-2
185,36-2151,469,21-3,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,110,130,170,110,180,840,5,5,5,20,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,belowLOD,belowLOD,36-2151_469_21-3
187,36-2151,469,22-1,5,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,280,NotTested,540,670,40000,560000,5,NotTested,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,36-2151_469_22-1
188,36-2151,469,22-2,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,240,190,240,150,240,2700,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-2151_469_22-2
190,36-2151,469,23-1,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,170,130,810,4.00E+07,1.60E+08,3.20E+08,5,5,480,4.00E+07,6.00E+07,1.20E+08,OK,OK,OK,aboveLOD,OK,OK,belowLOD,belowLOD,OK,aboveLOD,OK,OK,36-2151_469_23-1
192,36-2151,469,24-1,6,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,290,NotTested,270,1900,75000,1400000,5,NotTested,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,36-2151_469_24-1
267,36-5385,469,51,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,NotTested,4.00E+07,2.10E+08,NotTested,NotTested,20,NotTested,4.00E+07,1.90E+08,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,36-5385_469_51
268,36-5385,469,52,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,150,NotTested,4.00E+07,3.00E+08,NotTested,NotTested,40,NotTested,4.00E+07,3.50E+08,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,36-5385_469_52
269,36-5385,469,53,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,70,NotTested,4.00E+07,7.60E+07,NotTested,NotTested,20,NotTested,4.00E+07,7.80E+07,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,36-5385_469_53
270,36-5385,469,55,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2.5,NotTested,8500000,1.60E+08,NotTested,NotTested,40,NotTested,8600000,1.60E+08,NotTested,NotTested,belowLOD,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-5385_469_55
271,36-5673,469,71,7,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,18000,NotTested,4.00E+07,2.00E+08,NotTested,NotTested,16000,NotTested,4.00E+07,1.60E+08,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,36-5673_469_71
272,36-5673,469,72,7,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,6400,NotTested,4.00E+07,8.90E+07,NotTested,NotTested,7200,NotTested,4.00E+07,1.70E+08,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,36-5673_469_72
273,36-5673,469,73,7,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,3200,NotTested,4.00E+07,6.00E+07,NotTested,NotTested,3000,NotTested,4.00E+07,5.40E+07,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,36-5673_469_73
274,36-5673,469,75,7,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,190,NotTested,7000,1200000,NotTested,NotTested,5,NotTested,5,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,OK,OK,36-5673_469_75
72,36-1103,470,31,2,noSpoil,no,no,no,yes,no,no,no,noSpoil,noSpoil,1,10,2.5,2.5,10,2.5,20,5,5,5,5,5,5,OK,belowLOD,belowLOD,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1103_470_31
73,36-1103,470,35,2,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,2.5,2.5,10,220,21000,4.00E+06,5,5,5,140,8600,5,belowLOD,belowLOD,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,belowLOD,36-1103_470_35
74,36-1103,470,36,10,yes,yes,no,no,no,no,no,no,sporeSpoil,sporeSpoil,1,10,20,2.5,70,8500,84000,5,5,5,40,3800,5,OK,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,belowLOD,36-1103_470_36
75,36-1103,470,36-1,10,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,10,2.5,2.5,2.5,330,2000,5,5,5,5,5,140,OK,belowLOD,belowLOD,belowLOD,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-1103_470_36-1
92,36-1255,470,41,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,30,110000,4.00E+07,5.70E+07,NotTested,NotTested,5,91000,4.00E+07,5.20E+07,NotTested,NotTested,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-1255_470_41
93,36-1255,470,43,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,4.00E+05,1.40E+07,3.30E+08,NotTested,NotTested,5,4.00E+05,3.90E+07,6.90E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,36-1255_470_43
95,36-1255,470,44,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,50,4.00E+05,3.40E+07,6.40E+08,NotTested,NotTested,40,4.00E+05,1.00E+08,4.20E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-1255_470_44
98,36-1255,470,45,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2.5,85000,1.20E+07,5.80E+08,NotTested,NotTested,5,110000,4.00E+07,2.00E+08,NotTested,NotTested,belowLOD,OK,OK,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-1255_470_45
94,36-1255,470,43-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,30,4.00E+05,1.20E+07,2.60E+08,NotTested,NotTested,40,4.00E+05,2.20E+07,2.10E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-1255_470_43-1
96,36-1255,470,44-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2.5,4.00E+05,7700000,8.50E+07,NotTested,NotTested,20,4.00E+05,3.30E+07,1.30E+08,NotTested,NotTested,belowLOD,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-1255_470_44-1
97,36-1255,470,44-2,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,50,4.00E+05,1.40E+07,1.90E+08,NotTested,NotTested,20,4.00E+05,6.40E+07,2.20E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-1255_470_44-2
117,36-1348,470,51,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,31000,4.00E+07,3.80E+08,5.40E+08,1.60E+09,5,29000,4.00E+07,2.60E+08,3.20E+08,1.40E+09,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-1348_470_51
118,36-1348,470,52,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,15000,4.00E+07,2.40E+08,3.80E+08,7.50E+08,5,14000,4.00E+07,1.80E+08,3.00E+08,4.60E+08,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-1348_470_52
119,36-1348,470,53,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,34000,4.00E+07,1.60E+08,4.00E+08,1.20E+09,5,32000,4.00E+07,1.50E+08,3.40E+08,1.30E+09,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-1348_470_53
120,36-1348,470,55,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,20,280000,2.90E+08,1.90E+08,3.40E+08,5,60,330000,2.50E+08,1.90E+08,2.60E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1348_470_55
124,36-1414,470,71,3,yes,yes,no,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,490,350,460,670,1500,71000,5,80,40000,4.00E+07,2200,1.40E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,aboveLOD,OK,OK,36-1414_470_71
127,36-1414,470,75,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,670,210000,4100000,2.10E+07,3.20E+07,1.60E+08,320,1100000,5.60E+07,3.40E+08,3.40E+08,5.40E+08,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-1414_470_75
125,36-1414,470,71-1,16,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,110,110,210,780,NotTested,NotTested,5,5,5,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-1414_470_71-1
126,36-1414,470,71-2,10,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,4.00E+05,4.00E+07,4600000,3.30E+08,NotTested,NotTested,4.00E+05,4.00E+07,4.50E+07,3.50E+08,NotTested,NotTested,aboveLOD,aboveLOD,OK,OK,OK,OK,aboveLOD,aboveLOD,OK,OK,OK,OK,36-1414_470_71-2
151,36-1880,470,11,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,100,280,93000,8.80E+07,1.80E+08,5,100,28000,4.00E+07,1.90E+08,7.00E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,aboveLOD,OK,OK,36-1880_470_11
152,36-1880,470,12,3,yes,yes,no,yes,no,yes,no,no,ppcSpoil,sporeSpoil,0,30,100,260,9500,760000,3200000,5,5,5,110,5000,4400,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,OK,36-1880_470_12
155,36-1880,470,13,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,80,60,90,950,NotTested,1400000,5,5,5,5,NotTested,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,belowLOD,36-1880_470_13
157,36-1880,470,14,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,100,4.00E+05,9.90E+07,1.20E+09,5.30E+08,2.50E+08,5,4.00E+05,6.20E+07,1.10E+09,6.40E+08,1.60E+08,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,36-1880_470_14
159,36-1880,470,15,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,470,2600,2900000,1.80E+08,1.10E+09,3.10E+09,5,2200,2700000,2.10E+08,1.00E+09,2.40E+09,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1880_470_15
153,36-1880,470,1-Dec,3,yes,yes,no,no,no,no,no,no,sporeSpoil,sporeSpoil,1,50,30,140,1200,8500,1.00E+05,5,5,5,5,1200,40,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-1880_470_12-1
154,36-1880,470,2-Dec,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,90,200,21000,730000,3.70E+07,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_470_12-2
156,36-1880,470,13-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,20,41000,1.20E+07,1.60E+08,6.20E+07,5.70E+08,5,67000,4.00E+07,2.00E+08,1.20E+08,7.20E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-1880_470_13-1
158,36-1880,470,14-1,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,10,40,280,840,24000,170000,5,5,5,5,460,180,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-1880_470_14-1
303,42-65,470,61,3,yes,yes,no,yes,no,yes,no,no,ppcSpoil,sporeSpoil,0,30,20,2300,310000,5200000,1.10E+08,5,5,380,6500,500,3100,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,belowLOD,OK,42-65_470_61
304,42-65,470,62,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,450,2100,160000,6500000,4.00E+06,5,340,1800,55000,3300000,50000,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,belowLOD,42-65_470_62
307,42-65,470,63,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,80,2600,2700000,9.50E+07,8.60E+07,1.60E+08,5,3000,3200000,1.30E+08,9.90E+07,2.00E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,42-65_470_63
309,42-65,470,64,3,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,20,80,3600,4.00E+05,7.00E+06,1.50E+08,5,5,780,21000,500,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,belowLOD,belowLOD,42-65_470_64
311,42-65,470,65,3,yes,no,yes,no,no,no,no,no,sporeSpoil,sporeSpoil,1,40,2100,720000,1.80E+08,4.00E+08,3.60E+08,5,5,5,5,200,520,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,42-65_470_65
305,42-65,470,62-1,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,80,20000,8300000,2.00E+07,6.70E+07,5,80,17000,1200000,2600000,2.20E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,42-65_470_62-1
306,42-65,470,62-2,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,20,2.5,110,10000,9700000,1.90E+07,5,5,5,5,190000,3.10E+07,OK,belowLOD,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,42-65_470_62-2
308,42-65,470,63-1,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,80,20,60,290,110,1500,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,42-65_470_63-1
310,42-65,470,64-1,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,30,50,50,30,640,15000,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,42-65_470_64-1
318,50-13,470,21,2,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,10,60,10,590,10000,1700,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,50-13_470_21
319,50-13,470,22,2,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,20,30,30,190,5600,8700,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,50-13_470_22
321,50-13,470,23,2,yes,yes,yes,no,yes,no,yes,yes,ppcSpoil,ppcSpoil,1,50,1200,4800000,500,NotTested,93000,5,860,4800000,500,NotTested,5,OK,OK,OK,belowLOD,OK,OK,belowLOD,OK,OK,belowLOD,OK,belowLOD,50-13_470_23
322,50-13,470,24,2,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,30,20,20,30,120,2600,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,50-13_470_24
320,50-13,470,22-1,2,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,30,10,2.5,50,370,7000,5,5,5,5,20,1800,OK,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,50-13_470_22-1
83,36-1139,471,61,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,100,NotTested,140000,1.60E+07,1.70E+07,5.30E+07,5,NotTested,130000,1.60E+07,1.60E+07,4.90E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1139_471_61
84,36-1139,471,61-1,4,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2.5,30,26000,4.00E+05,1.80E+07,3500000,5,20,100,28000,64000,3300000,belowLOD,OK,OK,aboveLOD,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1139_471_61-1
111,36-1296,471,31,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,4.00E+05,2.10E+07,2.50E+08,NotTested,NotTested,5,4.00E+05,2.10E+07,2.60E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,36-1296_471_31
112,36-1296,471,35,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,50,4.00E+05,2.40E+07,1.80E+08,NotTested,NotTested,20,4.00E+05,2.40E+07,1.10E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-1296_471_35
194,36-2985,471,71,6,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,160,NotTested,90,190,NotTested,NotTested,5,NotTested,5,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,OK,OK,36-2985_471_71
196,36-2985,471,72,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,230,4.00E+05,1.60E+07,1.90E+08,NotTested,NotTested,80,4.00E+05,1.60E+07,1.70E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-2985_471_72
198,36-2985,471,73,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,250,130000,1.40E+07,6.10E+07,NotTested,NotTested,5,130000,1.90E+07,9.00E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-2985_471_73
