t,Isolate,Rep,LOG10N
0,R10-0151,1,3.215867219
0,R10-0151,2,3.289319359
0,R10-0151,3,3.223812912
4,R10-0151,1,3.295732595
4,R10-0151,2,3.372604637
4,R10-0151,3,3.31244033
8,R10-0151,1,3.167153096
8,R10-0151,2,3.191754883
8,R10-0151,3,2.888872168
12,R10-0151,1,3.143643244
12,R10-0151,2,2.793706302
12,R10-0151,3,3.478652313
24,R10-0151,1,3.916164694
24,R10-0151,2,3.813060761
24,R10-0151,3,3.879399961
36,R10-0151,1,3.99559464
36,R10-0151,2,4.007259887
36,R10-0151,3,4.018168559
48,R10-0151,1,4.571069581
48,R10-0151,2,4.553893958
48,R10-0151,3,4.538586309
60,R10-0151,1,4.855884321
60,R10-0151,2,4.775503115
60,R10-0151,3,4.595488107
72,R10-0151,1,5.507495959
72,R10-0151,2,5.428204413
72,R10-0151,3,5.354904028
96,R10-0151,1,6.028199808
96,R10-0151,2,6.083031981
96,R10-0151,3,6.194391687
120,R10-0151,1,6.949146778
120,R10-0151,2,6.969020788
120,R10-0151,3,6.70063587
144,R10-0151,1,7.283679887
144,R10-0151,2,7.3424859
144,R10-0151,3,7.293657033
168,R10-0151,1,7.797834364
168,R10-0151,2,7.81498602
168,R10-0151,3,7.806735648
192,R10-0151,1,7.909889832
192,R10-0151,2,7.757911829
192,R10-0151,3,7.80476706
216,R10-0151,1,8.020140314
216,R10-0151,2,7.918703268
216,R10-0151,3,7.972411658
240,R10-0151,1,8.097956347
240,R10-0151,2,8.117387569
240,R10-0151,3,8.048033035
264,R10-0151,1,7.049020716
264,R10-0151,2,7.353186388
264,R10-0151,3,7.332919622
0,R10-1113,1,3.335826831
0,R10-1113,2,3.341871607
0,R10-1113,3,3.487030092
4,R10-1113,1,3.347876051
4,R10-1113,2,3.32156269
4,R10-1113,3,3.376099554
8,R10-1113,1,3.377549568
8,R10-1113,2,3.375091163
8,R10-1113,3,3.413042938
12,R10-1113,1,3.324055245
12,R10-1113,2,3.212079292
12,R10-1113,3,3.399049462
24,R10-1113,1,3.531934934
24,R10-1113,2,3.566205159
24,R10-1113,3,3.577849892
36,R10-1113,1,3.770449613
36,R10-1113,2,3.731995642
36,R10-1113,3,3.791498717
48,R10-1113,1,4.231710274
48,R10-1113,2,4.148871741
48,R10-1113,3,4.115377858
60,R10-1113,1,4.366822951
60,R10-1113,2,4.262143534
60,R10-1113,3,4.193758498
72,R10-1113,1,4.971258557
72,R10-1113,2,4.880922818
72,R10-1113,3,4.615278386
96,R10-1113,1,5.699445979
96,R10-1113,2,5.37842776
96,R10-1113,3,5.277363334
120,R10-1113,1,6.763127216
120,R10-1113,2,6.573273263
120,R10-1113,3,6.17827395
144,R10-1113,1,6.820161763
144,R10-1113,2,6.965023569
144, R10-1113,3,6.725009472
168,R10-1113,1,8.103030756
168,R10-1113,2,7.743327637
168,R10-1113,3,7.518493718
192,R10-1113,1,8.193195689
192,R10-1113,2,8.110998381
192,R10-1113,3,7.944308803
216,R10-1113,1,8.570786804
216,R10-1113,2,8.478623359
216,R10-1113,3,8.392346603
240,R10-1113,1,8.597969334
240,R10-1113,2,8.734622547
240,R10-1113,3,8.591167183
0,R10-0908,1,3.571455077
0,R10-1432,1,3.290883227
0, R10-0701 ,1,3.588727637
0,R10-1344,1,2.850503927
0,R10-1181,1,3.186148624
0,R10-0084,1,3.409767421
0,R10-0990,1,3.169850607
0,R10-3286,1,2.95992554
0,R10-2381,1,3.045998374
0, R10-0908,2,3.689444007
0,R10-1432,2,3.364235148
0, R10-0701 ,2,3.541348364
0, R10-1344,2,2.927292178
0,R10-1181,2,3.303826534
0, R10-0084,2,3.280294311
0, R10-0990,2,3.021128758
0,R10-3286,2,2.964402968
0,R10-2381,2,2.96798044
0, R10-0908,3,3.521723181
0,R10-1432,3,3.419791385
0, R10-0701 ,3,3.485726126
0, R10-1344,3,2.867737572
0,R10-1181,3,3.291295315
0, R10-0056,1,3.514684747
0, R10-0056,2,3.502580517
0,R10-0056,3,3.563355479
4,R10-0908,1,3.456842239
4,R10-1432,1,3.469072545
4, R10-0701 ,1,3.525901412
4,R10-1344,1,2.867737572
4,R10-1181,1,3.228810699
4, R10-0084,1,3.577807176
4,R10-0990,1,3.0973221
4,R10-3286,1,2.960555867
4,R10-2381,1,3.054193594
4,R10-0908,2,3.588925194
4,R10-1432,2,3.478188532
4,R10-0701 ,2,3.54311996
4,R10-1344,2,3.014602956
4,R10-1181,2,3.368860632
4,R10-0084,2,3.414759523
4,R10-0990,2,3.083954975
4,R10-3286,2,3.096370058
4,R10-2381,2,2.925820004
4,R10-0908,3,3.327043963
4, R10-1432,3,3.472673755
4,R10-0701 ,3,3.515011528
4,R10-1344,3,2.903405783
4,R10-1181,3,3.21837763
4,R10-0056,1,3.40641481
4,R10-0056,2,3.315632952
4,R10-0056,3,3.46149794
8,R10-0908,1,3.705728142
8,R10-1432,1,3.544221671
8,R10-0701 ,1,3.76815098
8,R10-1344,1,3.017850092
8,R10-1181,1,3.284747677
8,R10-0084,1,3.688410169
8,R10-0990,1,3.178787018
8,R10-3286,1,3.030449801
8,R10-2381,1,3.042861597
8,R10-1432,2,3.583389679
8,R10-0701 ,2,3.729701776
8,R10-1344,2,3.132053121
8, R10-1181,2,3.432713755
8,R10-0084,2,3.569513896
8, R10-0990,2,3.139541704
8,R10-3286,2,3.054193594
8,R10-2381,2,3.147269531
8, R10-0908,3,3.523935973
8,R10-1432,3,3.572083637
8,R10-0701 ,3,3.707750273
8,R10-1344,3,3.12689706
8,R10-1181,3,3.325232186
8,R10-0056,1,3.794638247
8, R10-0056,2,3.726762917
8,R10-0056,3,3.741904269
12, R10-0908,1,3.538590368
12,R10-1432,1,3.652907838
12,R10-0701 ,1,3.77286781
12,R10-1344,1,3.089006494
12,R10-1181,1,3.402009167
12,R10-0084,1,3.828361967
12,R10-0990,1,3.168365084
12,R10-3286,1,3.073360321
12,R10-2381,1,3.17936223
12,R10-0908,2,3.661544662
12,R10-1432,2,3.702429485
12, R10-0701 ,2,3.797519527
12,R10-1344,2,3.204810787
12,R10-1181,2,3.399841742
12,R10-0084,2,3.616074303
12,R10-0990,2,3.095188227
12,R10-3286,2,3.150311546
12,R10-2381,2,3.141008926
12,R10-0908,3,3.568716909
12,R10-1432,3,3.71543622
12,R10-0701 ,3,3.763535568
12,R10-1344,3,3.177593361
12,R10-1181,3,3.326636181
12,R10-0056,1,3.935865991
12,R10-0056,2,3.790673616
12,R10-0056,3,3.809901072
24,R10-0908,1,4.023275619
24,R10-1432,1,4.579703339
24, R10-0701 ,1,4.443419766
24,R10-1344,1,3.775010724
24,R10-1181,1,3.537599452
24,R10-0084,1,4.486234644
24,R10-0990,1,3.406145423
24,R10-3286,1,3.93679509
24,R10-2381,1,3.698387425
24,R10-0908,2,4.114157708
24,R10-1432,2,4.620407145
24,R10-0701 ,2,4.355915796
24,R10-1344,2,3.773262243
24, R10-1181,2,3.71039045
24,R10-0084,2,4.296844355
24, R10-0990,2,3.392346584
24,R10-3286,2,4.044266069
24,R10-2381,2,3.477491043
24, R10-0908,3,3.978169627
24, R10-1432,3,4.628027133
24, R10-0701 ,3,4.32394734
24,R10-1344,3,3.731692171
24,R10-1181,3,3.555362734
24,R10-0056,1,4.659580312
24,R10-0056,2,4.585205623
24,R10-0056,3,4.599418083
36, R10-0908,1,4.002753998
36,R10-1432,1,4.640328093
36,R10-0701 ,1,4.691928541
36, R10-1344,1,4.046222347
36,R10-1181,1,4.123793559
36,R10-0084,1,4.77840856
36,R10-0990,1,3.568297383
36, R10-3286,1,4.320891817
36,R10-2381,1,3.96828703
36, R10-0908,2,4.134931754
36,R10-1432,2,4.287858574
36,R10-0701 ,2,4.692033739
36,R10-1344,2,4.051517297
36,R10-1181,2,4.047726964
36,R10-0084,2,4.664078471
36,R10-0990,2,3.505226796
36,R10-3286,2,4.339707702
36, R10-2381,2,3.874241204
36,R10-0908,3,4.011749939
36, R10-1432,3,4.469624898
36,R10-0701 ,3,4.794488258
36,R10-1344,3,3.990514598
36, R10-1181,3,4.012002289
36,R10-0056,1,4.172079054
36,R10-0056,2,4.121560478
36,R10-0056,3,3.535285578
48,R10-0908,1,3.080721949
48,R10-1432,1,6.252570471
48,R10-0701 ,1,5.92729025
48,R10-1344,1,5.089954078
48,R10-1181,1,4.786208138
48,R10-0084,1,5.798223453
48,R10-0990,1,4.439834354
48,R10-3286,1,5.158076058
48,R10-2381,1,4.794638243
48,R10-0908,2,2.953085695
48,R10-1432,2,6.138086865
48,R10-0701 ,2,5.824204672
48,R10-1344,2,5.128585766
48,R10-1181,2,4.836928535
48, R10-0084,2,5.618894731
48, R10-0990,2,4.367157749
48, R10-3286,2,5.179450906
48, R10-2381,2,4.622712031
48, R10-0908,3,2.963680342
48,R10-1432,3,6.129791197
48, R10-0701 ,3,5.870417431
48, R10-1344,3,5.001778064
48, R10-1181,3,4.783946175
48, R10-0056,1,4.172079054
48, R10-0056,2,4.121560478
48,R10-0056,3,3.535285578
60, R10-0908,1,4.002753998
60, R10-1432,1,6.138505567
60,R10-0701 ,1,6.028534932
60,R10-1344,1,5.205860989
60,R10-1181,1,4.825376424
60, R10-0084,1,5.919503558
60, R10-0990,1,4.592776559
60,R10-3286,1,5.251169309
60,R10-2381,1,4.842950343
60,R10-0908,2,4.134931754
60,R10-1432,2,6.25737836
60,R10-0701 ,2,6.004770628
60, R10-1344,2,5.145664257
60,R10-1181,2,4.97086876
60,R10-0084,2,5.838757799
60,R10-0990,2,4.466423822
60, R10-3286,2,5.278947061
60, R10-2381,2,4.724637005
60,R10-0908,3,4.011749939
60, R10-1432,3,6.194358116
60, R10-0701 ,3,5.985558114
60,R10-1344,3,5.124324477
60,R10-1181,3,4.841180052
60,R10-0056,1,4.778471799
60,R10-0056,2,4.357359978
60,R10-0056,3,4.632771341
72,R10-0908,1,6.128885557
72,R10-1432,1,7.106446836
72, R10-0701 ,1,6.950188244
72,R10-1344,1,6.201953708
72, R10-1181,1,5.379904389
72, R10-0084,1,6.773136612
72,R10-0990,1,5.257295227
72,R10-3286,1,6.255507662
72,R10-2381,1,5.601286648
72,R10-0908,2,6.182779923
72, R10-1432,2,7.127613674
72, R10-0701 ,2,6.926572831
72, R10-1344,2,6.223061952
72,R10-1181,2,5.409727645
72,R10-0084,2,6.938777474
72,R10-0990,2,5.194629601
72, R10-3286,2,6.25812851
72, R10-2381,2,5.45481596
72,R10-0908,3,5.983692658
72, R10-1432,3,7.09402126
72, R10-0701 ,3,6.886619394
72,R10-1344,3,6.062307618
72,R10-1181,3,5.325232192
72,R10-0056,1,7.09866626
72, R10-0056,2,6.858072822
72,R10-0056,3,6.864467841
96, R10-0908,1,7.199619169
96, R10-1432,1,7.459564439
96, R10-0701 ,1,7.767179381
96, R10-1344,1,7.408700397
96,R10-1181,1,6.080480543
96,R10-0084,1,7.383925443
96,R10-0990,1,6.218952852
96,R10-3286,1,7.206181457
96,R10-2381,1,6.588128002
96,R10-0908,2,7.168536746
96,R10-1432,2,7.52043567
96, R10-0701 ,2,7.688860165
96,R10-1344,2,7.340328873
96,R10-1181,2,6.106833717
96, R10-0084,2,7.297242418
96, R10-0990,2,6.128209713
96, R10-3286,2,7.162210642
96, R10-2381,2,6.46609683
96, R10-0908,3,6.967570255
96, R10-1432,3,7.4864999
96, R10-0701 ,3,7.720933111
96,R10-1344,3,7.283767004
96, R10-1181,3,6.062090724
96,R10-0056,1,7.633564877
96, R10-0056,2,7.555297496
96, R10-0056,3,7.570574172
120,R10-0908,1,7.45442785
120,R10-1432,1,7.550516238
120,R10-0701 ,1,8.163239339
120, R10-1344,1,8.029353072
120, R10-1181,1,6.625281842
120,R10-0084,1,7.506682202
120,R10-0990,1,6.919829358
120, R10-3286,1,7.880400887
120,R10-2381,1,7.010140884
120,R10-0908,2,7.333974468
120,R10-1432,2,7.563244349
120,R10-0701 ,2,8.140965345
120, R10-1344,2,8.022363816
120,R10-1181,2,6.786344684
120,R10-0084,2,7.451253955
120, R10-0990,2,6.820285568
120,R10-3286,2,7.834158507
120,R10-2381,2,6.893063494
120, R10-0908,3,7.477190036
120, R10-1432,3,7.577623713
120, R10-0701 ,3,8.127397599
120,R10-1344,3,7.982794369
120, R10-1181,3,5.930206931
120,R10-0056,1,7.887545635
120,R10-0056,2,7.827359411
120,R10-0056,3,7.927001448
144,R10-0908,1,7.772688269
144,R10-1432,1,8.03541907
144, R10-0701 ,1,8.199655856
144,R10-1344,1,8.43815534
144,R10-1181,1,7.629899568
144, R10-0084,1,7.778955126
144, R10-0990,1,7.207720576
144,R10-3286,1,8.257445829
144,R10-2381,1,7.222937313
144,R10-0908,2,7.840243423
144, R10-1432,2,7.850431235
144, R10-0701 ,2,8.261473373
144,R10-1344,2,8.413663983
144,R10-1181,2,7.761256826
144, R10-0084,2,7.781315443
144,R10-0990,2,7.180431924
144,R10-3286,2,8.235970649
144,R10-2381,2,7.181534296
144,R10-0908,3,7.7682121
144,R10-1432,3,7.66390954
144,R10-0701 ,3,8.289151112
144, R10-1344,3,8.35649473
144,R10-1181,3,6.668767571
144,R10-0056,1,8.960318804
144,R10-0056,2,8.891192698
144, R10-0056,3,8.911691561
168,R10-0908,1,8.056743538
168,R10-1432,1,7.927387824
168,R10-0701 ,1,8.161089495
168, R10-1344,1,8.558640408
168,R10-1181,1,8.05295055
168,R10-0084,1,8.102305958
168,R10-0990,1,7.466821656
168, R10-3286,1,8.430736078
168,R10-2381,1,7.233636395
168,R10-0908,2,8.134094952
168,R10-1432,2,7.962162054
168,R10-0701 ,2,8.237053678
168,R10-1344,2,8.284896678
168,R10-1181,2,7.763860056
168, R10-0084,2,7.961958905
168,R10-0990,2,7.423132168
168,R10-3286,2,8.429728439
168, R10-2381,2,6.80772068
168,R10-0908,3,7.935560695
168,R10-1432,3,7.856379922
168, R10-0701 ,3,8.559307083
168, R10-1344,3,8.516577154
168,R10-1181,3,7.863946976
168,R10-0056,1,8.113193786
168,R10-0056,2,7.963490068
168,R10-0056,3,8.153196156
192, R10-0908,1,8.003001246
192, R10-1432,1,8.094923144
192, R10-0701 ,1,8.21853791
192,R10-1344,1,8.650905885
192,R10-1181,1,8.073394605
192,R10-0084,1,8.236590184
192,R10-0990,1,7.644150705
192, R10-3286,1,8.648046741
192, R10-2381,1,7.367028679
192,R10-0908,2,8.040388338
192, R10-1432,2,8.163557101
192, R10-0701 ,2,8.305122003
192,R10-1344,2,8.683875824
192,R10-1181,2,8.059468418
192,R10-0084,2,8.174656335
192, R10-0990,2,7.584737993
192, R10-3286,2,8.590932796
192,R10-2381,2,7.293774175
192, R10-0908,3,8.076129848
192,R10-1432,3,8.066841132
192, R10-0701 ,3,8.303377842
192,R10-1344,3,8.636028848
192,R10-1181,3,8.06279519
192,R10-0056,1,8.225180493
192, R10-0056,2,8.171979369
192,R10-0056,3,8.168607282
216, R10-1432,1,8.225240254
216,R10-0701 ,1,8.298102415
216,R10-1344,1,8.895071085
216,R10-1181,1,8.306348096
216,R10-0084,1,8.249120522
216,R10-0990,1,7.785960475
216,R10-3286,1,8.729857511
216, R10-2381,1,7.406777941
216,R10-1432,2,8.19368942
216,R10-0701 ,2,8.29074386
216,R10-1344,2,8.852743697
216,R10-1181,2,8.236868399
216,R10-0084,2,8.156023709
216, R10-0990,2,7.696590174
216,R10-3286,2,8.675890039
216,R10-2381,2,7.349106353
216,R10-1432,3,8.09014422
216, R10-0701 ,3,8.288141037
216,R10-1344,3,8.872146865
216, R10-1181,3,8.231504543
0,R10-0084,3,4.050074384
0,R10-0990,3,3.174247168
0,R10-3286,3,3.894191887
0,R10-2381,3,3.836768135
4, R10-0084,3,4.07063216
4, R10-0990,3,3.026537138
4,R10-3286,3,3.878195053
4,R10-2381,3,3.813055815
8, R10-0084,3,4.260431899
8, R10-0990,3,3.148906044
8,R10-3286,3,3.936766561
8, R10-2381,3,3.746673778
12,R10-0084,3,4.379935467
12, R10-0990,3,3.046281297
12,R10-3286,3,4.046179276
12, R10-2381,3,3.672795582
24,R10-0084,3,4.687599109
24,R10-0990,3,3.021128761
24, R10-3286,3,4.324429507
24, R10-2381,3,3.870356107
48,R10-0084,3,5.649447637
48,R10-0990,3,3.132053121
48,R10-3286,3,5.509582382
48,R10-2381,3,4.114892949
60, R10-0084,3,5.139010835
60,R10-0990,3,3.339978916
60,R10-3286,3,5.639481015
60,R10-2381,3,4.218722691
72,R10-0084,3,6.711045708
72,R10-0990,3,3.800521166
72, R10-3286,3,6.4696249
72, R10-2381,3,4.91101905
96, R10-0084,3,6.819672035
96, R10-0990,3,4.514955449
96, R10-3286,3,7.202007646
96,R10-2381,3,5.68288607
120, R10-0084,3,7.528847237
120,R10-0990,3,5.117347476
120,R10-3286,3,7.810369652
120,R10-2381,3,6.337613399
168,R10-0084,3,7.800405262
168,R10-0990,3,5.98358345
168,R10-3286,3,8.046422634
168,R10-2381,3,6.606812324
192,R10-0084,3,7.902884458
192,R10-0990,3,6.74909657
192,R10-3286,3,8.292344876
192,R10-2381,3,6.890330983
216, R10-0084,3,8.02826533
216,R10-0990,3,7.000361762
216,R10-3286,3,8.514234588
216, R10-2381,3,7.023524497
240, R10-0084,3,8.282568124
240,R10-0990,3,7.333392954
240,R10-3286,3,8.776068399
240,R10-2381,3,7.13271998
264,R10-0084,3,8.379630464
264,R10-0990,3,7.542415937
264,R10-3286,3,8.942509996
264,R10-2381,3,7.191993079
288, R10-0084,3,8.571543173
288, R10-0990,3,7.75887099
288, R10-3286,3,9.06059242
288,R10-2381,3,7.295553242
360, R10-0084,3,8.702902299
360, R10-0990,3,8.038509802
360,R10-3286,3,9.165893571
360,R10-2381,3,7.440203325
384,R10-0990,3,8.177477477
384, R10-3286,3,9.21586723
384,R10-2381,3,7.470800579
0,R10-0531,1,2.936039145
4,R10-0531,1,2.925819997
8,R10-0531,1,3.018574038
12,R10-0531,1,2.936039145
24,R10-0531,1,3.042933393
36, R10-0531,1,3.200197776
48,R10-0531,1,3.628906542
60,R10-0531,1,3.860270406
72,R10-0531,1,4.385356061
96,R10-0531,1,5.198503863
120,R10-0531,1,6.272223072
144,R10-0531,1,6.926084263
168,R10-0531,1,7.525441532
192,R10-0531,1,8.531601851
216,R10-0531,1,8.419841991
240,R10-0531,1,8.469888059
264,R10-0531,1,8.583604077
288,R10-0531,1,8.569742428
0,R10-0553,1,2.603600705
4,R10-0553,1,2.882354309
8,R10-0553,1,2.870772421
12,R10-0553,1,2.936039145
24, R10-0553,1,3.579032514
36, R10-0553,1,3.522678803
48,R10-0553,1,4.10663541
60, R10-0553,1,4.349227655
72,R10-0553,1,4.969173571
96,R10-0553,1,6.085950796
144,R10-0553,1,7.136533622
168,R10-0553,1,7.590612081
192,R10-0553,1,7.796110542
216,R10-0553,1,7.998211755
240,R10-0553,1,8.172319286
264,R10-0553,1,8.349227656
0, R10-1099,1,2.925819997
4,R10-1099,1,3.128645495
8,R10-1099,1,3.065998705
12,R10-1099,1,3.0015407
24,R10-1099,1,3.284841931
36,R10-1099,1,3.451789807
48,R10-1099,1,3.928011828
60,R10-1099,1,4.067927727
72,R10-1099,1,4.567388541
96,R10-1099,1,5.335965712
120,R10-1099,1,6.465673337
144,R10-1099,1,6.843703673
168, R10-1099,1,7.67889344
192,R10-1099,1,7.94786874
216, R10-1099,1,8.419841991
240,R10-1099,1,8.385356077
264,R10-1099,1,8.720801207
288,R10-1099,1,8.778471792
0,R10-0941,1,3.315407926
4, R10-0941,1,3.14766874
8, R10-0941,1,3.128645495
12,R10-0941,1,3.363268558
24, R10-0941,1,3.548083371
36,R10-0941,1,4.374452724
48,R10-0941,1,4.601423776
60,R10-0941,1,4.713022566
72,R10-0941,1,5.169858687
96,R10-0941,1,5.807448304
120,R10-0941,1,6.880566803
144, R10-0941,1,7.347591879
168,R10-0941,1,7.93556494
192,R10-0941,1,7.933061815
216,R10-0941,1,8.221648803
240,R10-0941,1,8.226849987
264, R10-0941,1,9.221011218
288,R10-0941,1,8.36326853
0, R10-0531,2,2.870772421
4,R10-0531,2,2.904630701
8,R10-0531,2,3.0015407
12,R10-0531,2,2.904630701
24,R10-0531,2,3.165893567
36,R10-0531,2,3.266358528
48,R10-0531,2,3.555423722
60, R10-0531,2,3.733463726
72, R10-0531,2,4.147668747
96,R10-0531,2,5.043320578
120,R10-0531,2,6.012054315
144,R10-0531,2,6.709727256
168,R10-0531,2,7.564950073
192, R10-0531,2,8.650380269
216,R10-0531,2,8.557843189
240, R10-0531,2,8.451789824
264,R10-0531,2,8.565021799
288,R10-0531,2,8.503967828
0,R10-0553,2,2.915354548
4,R10-0553,2,3.0015407
8, R10-0553,2,3.0015407
12,R10-0553,2,4.058627692
24,R10-0553,2,3.41316043
36,R10-0553,2,3.548083371
60,R10-0553,2,4.349227655
72,R10-0553,2,5.147062459
96,R10-0553,2,6.037438401
120,R10-0553,2,#NUM!
144,R10-0553,2,7.309952277
168,R10-0553,2,7.486523477
192,R10-0553,2,7.750593055
216,R10-0553,2,7.959833548
240,R10-0553,2,8.193858937
264,R10-0553,2,8.258799746
0,R10-1099,2,2.983811936
4,R10-1099,2,3.122114639
8,R10-1099,2,3.073422711
12, R10-1099,2,3.343963388
24,R10-1099,2,3.426422339
36, R10-1099,2,3.484414301
48,R10-1099,2,4.03147545
60,R10-1099,2,4.177199049
72,R10-1099,2,4.54560875
96,R10-1099,2,5.231842055
120,R10-1099,2,6.23821323
144,R10-1099,2,6.754672254
168,R10-1099,2,7.425938721
192,R10-1099,2,7.876729868
216,R10-1099,2,8.331954463
240,R10-1099,2,8.55542372
264,R10-1099,2,8.735952527
288,R10-1099,2,8.650875578
0, R10-0941,2,3.347893676
4, R10-0941,2,3.315407926
8,R10-0941,2,3.289342425
12, R10-0941,2,3.351788713
24,R10-0941,2,4.184417388
36,R10-0941,2,4.484414294
48,R10-0941,2,4.718223776
60,R10-0941,2,4.804668343
72,R10-0941,2,5.286073852
96,R10-0941,2,5.767888306
120, R10-0941,2,6.72956151
144, R10-0941,2,7.358914903
168,R10-0941,2,7.85652647
192, R10-0941,2,7.945435692
216,R10-0941,2,8.216384573
240,R10-0941,2,8.315407941
264, R10-0941,2,9.258799762
288,R10-0941,2,8.261612106
0,R10-0531,3,2.846638744
4,R10-0531,3,2.936039145
8,R10-0531,3,2.893635301
12,R10-0531,3,2.858873217
24,R10-0531,3,3.14766874
36,R10-0531,3,3.177631951
48, R10-0531,3,3.555423722
60,R10-0531,3,3.713022574
72,R10-0531,3,4.200197783
96, R10-0531,3,4.752985865
120,R10-0531,3,5.734701142
144, R10-0531,3,6.362096594
168,R10-0531,3,7.379190863
192,R10-0531,3,7.93805376
216,R10-0531,3,8.302570707
240,R10-0531,3,8.466923538
264,R10-0531,3,8.5304574
288,R10-0531,3,8.54311996
0,R10-0553,3,2.882354309
4,R10-0553,3,2.915354548
8, R10-0553,3,3.189061428
12,R10-0553,3,2.974668571
24,R10-0553,3,3.275698567
36,R10-0553,3,3.538099136
48,R10-0553,3,4.203099608
60,R10-0553,3,4.214380617
72, R10-0553,3,4.800410533
96,R10-0553,3,5.856526457
144,R10-0553,3,7.128465991
168, R10-0553,3,7.238213212
192,R10-0553,3,7.705102106
216,R10-0553,3,7.892588215
240,R10-0553,3,8.135924794
264,R10-0553,3,8.309952277
0,R10-1099,3,3.02684655
4,R10-1099,3,3.065998705
8,R10-1099,3,3.080721938
12,R10-1099,3,3.189061428
24,R10-1099,3,3.363268558
36,R10-1099,3,3.490091424
48,R10-1099,3,4.000367087
60,R10-1099,3,4.039407999
72, R10-1099,3,4.432904464
96,R10-1099,3,4.98727178
120,R10-1099,3,5.871312405
144,R10-1099,3,6.425938697
168,R10-1099,3,7.412737265
192,R10-1099,3,7.71039844
216,R10-1099,3,8.171802438
240,R10-1099,3,8.423144621
264,R10-1099,3,8.535566797
288,R10-1099,3,8.760086209
0,R10-0941,3,3.385356052
4, R10-0941,3,3.442449797
8,R10-0941,3,3.271053642
12,R10-0941,3,3.406374411
24, R10-0941,3,4.260805745
36,R10-0941,3,4.512085715
48,R10-0941,3,4.632984457
60,R10-0941,3,4.707758343
72,R10-0941,3,5.144454089
96,R10-0941,3,5.708372215
120,R10-0941,3,6.780714046
144,R10-0941,3,7.200807805
168,R10-0941,3,7.607922051
192,R10-0941,3,7.909859544
216,R10-0941,3,8.242089965
240,R10-0941,3,8.319604048
264,R10-0941,3,9.311735828
288, R10-0941,3,8.335994465
24,R10-1587,1,4.179618517
24,R10-1587,2,4.019298155
24,R10-1587,3,4.27265089
36,R10-1587,1,4.264790116
36,R10-1587,2,4.244492291
36, R10-1587,3,4.479684046
48, R10-1587,1,4.684664882
48,R10-1587,2,4.587037601
48,R10-1587,3,4.921741287
60,R10-1587,1,3.778471799
60,R10-1587,2,4.077032742
60,R10-1587,3,4.196074963
72, R10-1587,1,5.05745713
72, R10-1587,2,4.992104094
72, R10-1587,3,5.115648625
96,R10-1587,1,5.910689958
96, R10-1587,2,5.613155364
96,R10-1587,3,5.863437479
120,R10-1587,1,6.272223072
120, R10-1587,2,6.26535275
120, R10-1587,3,6.20038002
144,R10-1587,1,6.289406212
144,R10-1587,2,6.270271188
144,R10-1587,3,6.041189506
168,R10-1587,1,6.917354452
168,R10-1587,2,6.734701162
168, R10-1587,3,6.978914088
192, R10-1587,1,7.068492432
192, R10-1587,2,7.027721922
192,R10-1587,3,7.054251988
216, R10-1587,1,7.360508667
216,R10-1587,2,7.313512092
216,R10-1587,3,7.327466544
240,R10-1587,1,7.465673345
240,R10-1587,2,7.382227904
240,R10-1587,3,7.425938721
264,R10-1587,1,7.605766769
264,R10-1587,2,7.567388527
264, R10-1587,3,7.61854105
288,R10-1587,1,7.785170555
288,R10-1587,2,7.644993383
288, R10-1587,3,7.669926622
312,R10-1587,1,7.796110542
312,R10-1587,2,7.787380721
312,R10-1587,3,7.802544658
